Id;Precio;Activo;Stock;Codigo;Descripcion;TagID;MedidaID
;;;;7794770100406;Yovinessa Aceitunas con Morron;;
;;;;7791675908380;Castell Aceitunas Descarozadas;;
;;;;7794000960442;Savora;;
;;;;7791866001197;Mayonesa Natura;;
;;;;7794000960756;Hellmans Ketchup;;
;;;;7794000960428;Savora Chica;;
;;;;7790070416780;Exquisita Gelatina - Cereza;;
;;;;7790070416766;Exquisita Gelatina - Frutilla;;
;;;;7798000820126;Pimienta Blanca;;
;;;;7798000820096;Rubino Provenzal;;
;;;;7622201106034;Royal Gelatina - Sin Savor;;
;;;;7622300871468;Royal Flan - Dulce de Leche;;
;;;;7790971001962;Ravana Postre - Vainilla;;
;;;;7798158710058;Especias 537 - Ají Molido;;
;;;;7798158710027;Especias 537 - Pimienta Molida;;
;;;;7790971001979;Ravana Postre - Caramelo;;
;;;;7790971000163;Ravana Postre - Musse de Chocolate;;
;;;;7798158710072;Especias 537 - Adobo Para Pizza;;
;;;;7798158710010;Especias 537 - Oregano;;
;;;;7798158710041;Especias 537 - Pimentón;;
;;;;7794000597709;Caldo de Gallina;;
;;;;7790170914100;Té La Morenita;;
;;;;7790387800081;Mate Cocido Unión;;
;;;;7790170000025;Café en Saquitos La Morenita;;
;;;;7790150006122;Café Molido La Virginia;;
;;;;7613287294074;Café Dolca - Nestlé;;
;;;;7613287292896;Café Dolca Suave - Nestlé;;
;;;;7790490998231;Hileret Clasico;;
;;;;7790387711837;Té de Boldo - Taragui;;
;;;;7790387711844;Té de Tilo - Taragui;;
;;;;7790387711820;Té de Manzanilla - Taragui;;
;;;;7795184946710;Noel Salsa Pizza;;
;;;;7795184001907;Noel Pure de Tomate;;
;;;;7790036567440;De la Huerta Pure de Tomate;;
;;;;7797470124574;Marolio Tomates Pelados;;
;;;;7794000003811;Caldito de Verdura;;
;;;;7790790120271;Inca Jardinera;;
;;;;7891150077638;Maicena;;
;;;;7797470007426;Marolio Arverjas;;
;;;;7795184983203;Noel Arverjas en Lata;;
;;;;7791885005053;Cumaná Pimiontos Morrones;;
;;;;7790696000301;Abeto Duraznos en Lata;;
;;;;7791885000386;Cumaná Atun Desmenuzado al Natural;;
;;;;7791885001208;Cumaná Atun Desmenuzada en Aceite y Agua;;
;;;;7790080055023;Miel Granja Rosalia;;
;;;;7790080055030;Miel Granja Rosalia;;
;;;;7790080031874;Dulce de Leche Sancor;;
;;;;7790742625304;Dulce de Leche La Serenisima;;
;;;;7622300868666;Tang de Pera;;
;;;;7622201116163;Tang de Uva;;
;;;;7622300868512;Tang de Manzana;;
;;;;7622300868482;Tang de Naranja;;
;;;;7622210812759;Clight de Naranja;;
;;;;7790580108748;Noel Naranja;;
;;;;7790580108717;Noel Manzana;;
;;;;7622210812872;Clight de Anana;;
;;;;7622210813459;Clight de Pera;;
;;;;7790580108779;Noel Multifruta;;
;;;;7790580108762;Noel Limonada;;
;;;;7622210812834;Clight de Pomelo Rosado;;
;;;;7730908400567;Rinde 2 - Manzana;;
;;;;7730908400529;Rinde 2 - Naranja;;
;;;;7730908400536;Rinde 2 - Multifruta;;
;;;;7730908401540;Rinde 2 - Limon;;
;;;;7730908401588;Rinde 2 - Anana Piña;;
;;;;7790427000037;Fideos 308;;
;;;;7790070318282;Spaguetti Luchetti;;
;;;;7790070318343;Coditos Luchetti;;
;;;;7790070318329;Tirabuzón Luchetti;;
;;;;7790070318381;Letritas Luchetti;;
;;;;7790070318336;Mostachole Luchetti;;
;;;;7791830000058;Arroz Moneda;;
;;;;7792197008046;Lentejas Los Filos;;
;;;;7798049540313;Lentejas La Abadía;;
;;;;7791422000060;Pan Rallado Sequito;;
;;;;7792180004765;Rebozador Mama Cocina;;
;;;;7792900000428;Sal Fina Dos Anclas;;
;;;;7791004000099;Sal Gruesa Celusal;;
;;;;7790580660000;Polenta Presto Pronta;;
;;;;7793049100246;Alcohol Etílico Villa Iris;;
;;;;7798142740177;Jugo de Limón Silva;;
;;;;7798142740016;Vinagre de Alcohol Silva;;
;;;;7792180138705;Aceite Girasol Pureza;;
;;;;7790520996602;Tabletas Insectisidas Fuji;;
;;;;7790520010490;Espirales Fuji;;
;;;;7792789000076;Virulana de Acero Limpilana;;
;;;;7791290010734;Jabon en Pan Ala;;
;;;;7796311000022;Jabon en Pan Seiseme;;
;;;;7791290790599;Jabon en Polvo Ala Matic;;
;;;;7791290011755;Jabon en Polvo Ala - Lavado a Mano;;
;;;;7791290790643;Jabon en Polvo Ala Matic Chico;;
;;;;7899970400094;Chocolate Blanco con Galletitas Hershey's;;
;;;;7899970400018;Chocolate Negro Hershey's;;
;;;;7790580103439;Chocolate Aereado Con Almendras Cofler;;
;;;;7790580033408;Chocolate Aereado Con Leche Cofler;;
;;;;7790580103415;Chocolate Aereado Blanco Cofler;;
;;;;7790580103422;Chocolate Aereado Combinado Cofler;;
;;;;7790580115562;Chocolate Aereado Bonobon Cofler;;
;;;;7790206514397;Chocolate con Maní Felfort;;
;;;;7794612065719;Chocolate con Almendras y Mani Hamlet;;
;;;;55264198;Chocolate con Maní Cofler Block;;
;;;;77922120;Chocolate con Maní Cofler Block Grande;;
;;;;7790742034526;Manteca La Serenisima;;
;;;;7790742345806;Manteca La Serenisima;;
;;;;7790742329004;Crema para Batir Armonía;;
;;;;7790742770103;Crema para Batir La Serenisima;;
;;;;77974686;Danet Dulce de Leche;;
;;;;7791337053199;Danet Chocolate;;
;;;;77974709;Danet Flan con Caramelo;;
;;;;7790580230111;Viborita Mogul;;
;;;;7790813110401;Levadura Fresca Calza;;
;;;;7792798007493;Brahma;;
;;;;7798126073086;Valente Vainilla;;
;;;;7795184119756;Noel Durazno;;
;;;;7622300840259;Cerealita;;
;;;;7790270336307;Media tarde;;
;;;;7795184006001;Noel Durazno Light;;
;;;;7798094225616;Rapshodia minitorta;;
;;;;7790040872202;Traviata x3;;
;;;;7793450000739;Capri Vainillas;;
;;;;7798126071747;Sinfonia  Limón;;
;;;;7798126070948;Sinfonia  Frutilla;;
;;;;7798126070931;Sinfonia Clasica;;
;;;;7790040111004;Chocolina Original;;
;;;;7790628102714;Surtido Fauna;;
;;;;7790040131187;Vocación Clásica;;
;;;;7622201808662;Pepitos Original;;
;;;;7798126073017;Gaona Magdalens Dulce de leche;;
;;;;7798036830151;Celosas Traidicionales;;
;;;;7790040132771;Surtido Bagley;;
;;;;7791324156919;Mini Mantecadas;;
;;;;7798054220156;Terepin;;
;;;;7791324157022;Mini Pitusas Vainilla;;
;;;;7791324157046;Mini Pitusas Chocolate;;
;;;;7791324156926;Suavecitas;;
;;;;7791324156827;Morochitas;;
;;;;7795735000328;Don Satur grasa;;
;;;;7795735000335;Don Satur Agri;;
;;;;7793450000128;Hojalmar Triangulos;;
;;;;7793890020632;Fargo Pan Hamburguesas;;
;;;;7793890254211;Pan Lactal;;
;;;;7792180001528;Cañuelas Harina 000;;
;;;;7792180004567;Pureza Harina Pizza;;
;;;;7792540260138;Azucar Ledesma;;
;;;;7798918990188;Azucar Fugaz;;
;;;;7790387014334;Mini Union Suave;;
;;;;7790387014624;Union Suave;;
;;;;7790387013627;Taragui;;
;;;;7792280000469;Cachamate Mezcla de Hierbas;;
;;;;7790710000102;Cbsé Hierbas Serranas;;
;;;;7790387015324;Mañanitas;;
