Id;Precio;Activo;Stock;Codigo;Descripcion;TagID;MedidaID
;;1;0;1,00708E+12;Monster;1;1
;;1;0;7,7909E+12;Coca Retornable;1;1
;;1;0;7,7909E+12;Sprite Retornable;1;1
;;1;0;7,7909E+12;Lata Sprite;1;1
;;1;0;7,7909E+12;Fanta Retornable;1;1
;;1;0;7,7909E+12;Coca Medio;1;1
;;1;0;7,7909E+12;Coca Descartable;1;1
;;1;0;7,7909E+12;Sprite Descartable;1;1
;;1;0;7,7909E+12;Coca Retornable;1;1
;;1;0;7,7909E+12;Aquarius Pomelo Grande;1;1
;;1;0;7,7909E+12;Aquarius Pera Grande;1;1
;;1;0;7,7909E+12;Aquarius Manzana Grande;1;1
;;1;0;7,7909E+12;Powerade Azul Grande;1;1
;;1;0;7,7909E+12;Powerade Manzana Grande;1;1
;;1;0;7,7909E+12;Crush Lima Limon;1;1
;;1;0;7,7909E+12;Crush Pomelo;1;1
;;1;0;7,7909E+12;Coca Zero Descartable;1;1
;;1;0;7,7909E+12;Coca Zero Retornable;1;1
;;1;0;7,7909E+12;Fanta Retornable;1;1
;;1;0;7,7909E+12;Powerade Manzana Medio;1;1
;;1;0;7,7909E+12;Aquarius Pera;1;1
;;1;0;7,7909E+12;Aquarius Manzana;1;1
;;1;0;7,7909E+12;Aquarius Pomelo;1;1
;;1;0;7,7909E+12;Lata Coca Mini;1;1
;;1;0;7,7909E+12;Lata Sprite Mini;1;1
;;1;0;7,7909E+12;High C Naranja;1;1
;;1;0;7,7909E+12;Ades Manzana;1;1
;;1;0;7,7909E+12;Coca Mini;1;1
;;1;0;7,7909E+12;Cepita Fresh Naranja;1;1
;;1;0;7,7909E+12;Cepita Fresh Pomelo;1;1
;;1;0;7,7909E+12;Cepita Fresh Naranja Medio;1;1
;;1;0;7,7909E+12;Cepita Fresh Pomelo Medio;1;1
;;1;0;7,79129E+12;Sedal Shampoo;1;1
;;1;0;7,79129E+12;Sedal Acondicionador;1;1
;;1;0;7,79129E+12;Desodorante Axe;1;1
;;1;0;77941558;Master Común;1;1
;;1;0;77900883;Red Point Común;1;1
;;1;0;77960894;Dolchester Común;1;1
;;1;0;77910066;Lucky Strike Box;1;1
;;1;0;77977038;Lucky Mentolado;1;1
;;1;0;77976505;Lucky  Chico;1;1
;;1;0;77976994;Lucky Mentolado Chico;1;1
;;1;0;77953513;Chester Común;1;1
;;1;0;77953483;Chester Chico;1;1
;;1;0;77953964;Chester Mentolado Chico;1;1
;;1;0;77955418;Rothman Chico;1;1
;;1;0;77918482;Marlboro Box;1;1
;;1;0;77940315;Marlboro Chico;1;1
;;1;0;77912879;Philips Morris Común;1;1
;;1;0;77940735;Philips Morris Mentolado;1;1
;;1;0;77913418;Philips Morris Chico;1;1
;;1;0;7,7301E+12;Tabaco Cerrito Chocolate;1;1
;;1;0;77953957;Chester Mentolado;1;1
;;1;0;77971913;Philips Mentolado Chico;1;1
;;1;0;7,7909E+12;Agua Bidon King;1;1
;;1;0;7,7909E+12;Agua King;1;1
;;1;0;7,79463E+12;Toallita Lina con Alas;1;1
;;1;0;7,79094E+12;Protector Diario Doncella;1;1
;;1;0;7,79077E+12;Toallita Nocturna Calypso;1;1
;;1;0;7,79463E+12;Protector Diario Lina;1;1
;;1;0;2,78277E+12;Toallita Calypso Incontinente;1;1
;;1;0;7,79127E+12;Desodorante Algabo Foot;1;1
;;1;0;30052765;OCB Premium;1;1
;;1;0;7,79129E+12;Jabon Suave;1;1
;;1;0;7,79129E+12;Jabon Lux;1;1
;;1;0;7,70203E+12;Tampones Mini;1;1
;;1;0;7,70203E+12;Tampones Regular;1;1
;;1;0;7,79094E+12;Algodón Doncella;1;1
;;1;0;7,79835E+12;Candela LED Lampara;1;1
;;1;0;4,52515E+12;Chupete Lactal;1;1
;;1;0;7,79816E+12;Colita para pelo Blanca/Negra;1;1
;;1;0;7,79816E+12;Colita para pelo Color;1;1
;;1;0;7,79815E+12;Frasco Esteril;1;1
;;1;0;7,50044E+12;Gillette Prestobarba 2 Filos;1;1
;;1;0;7,79805E+12;Tetina para Mamadera;1;1
;;1;0;4,00832E+12;Osram Lamparita;1;1
;;1;0;7,79101E+12;Preservativo Tulipan;1;1
;;1;0;7,79826E+12;Cepillo de Dientes Javalí;1;1
;;1;0;6,91002E+12;Cepillo de Dientes Colgate;1;1
;;1;0;7,7904E+12;Eccole Pegamento;1;1
;;1;0;7,89621E+12;Tenedores Simonagio;1;1
;;1;0;7,89621E+12;Cucharas Simonagio;1;1
;;1;0;01077923666200621725030010212099378LPZA;Guantes de Latex Medium;1;1
;;1;0;01077923666201471725050010213105136LPZA;Guantes de Latex Large;1;1
;;1;0;7,79201E+12;Gasa Syra;1;1
;;1;0;7,79801E+12;Azufre en Barra;1;1
;;1;0;7,79059E+12;Fosforos Tres Patitos;1;1
;;1;0;7,79444E+12;Guantes Plumitas;1;1
;;1;0;8,0042E+12;Guantes Mapa;1;1
;;1;0;7,79127E+12;Isopos;1;1
;;1;0;7,7931E+12;Pasta Dental Colgate;1;1
;;1;0;7,7931E+12;Pasta Dental Odol;1;1
;;1;0;77940704;Rexona Odorono;1;1
;;1;0;7,79129E+12;Desodorante Rexona Men V8;1;1
;;1;0;7,79129E+12;Desodorante Rexona Men 72hs;1;1
;;1;0;7,79129E+12;Desodorante Rexona Men Hombre;1;1
;;1;0;1,79716E+12;Desodorante Rexona 72hs;1;1
;;1;0;7,79129E+12;Desodorante Rexona Active Motion;1;1
;;1;0;7,79129E+12;Desodorante Rexona Antibacterial;1;1
;;1;0;7,79129E+12;Desodorante Dove Go Fresh;1;1
;;1;0;6,96188E+12;Esponja Cocina;1;1
;;1;0;7,79335E+12;Washington Negro;1;1
;;1;0;7,79335E+12;Washington Premium Marron;1;1
;;1;0;7,79335E+12;Washington Marron Militar;1;1
;;1;0;77900302;Repelente Off Crema;1;1
;;1;0;7,79052E+12;Repelente Off Aerosol;1;1
